date,description,category,type
2025-04-01,Makan siang di Warteg Bu Siti,Food & Dining,expense
2024-11-24,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-04-01,Beli jajanan di Indomaret,Food & Dining,expense
2025-05-12,Dinner di restoran Jepang,Food & Dining,expense
2025-01-03,Beli game di Steam,Entertainment,expense
2025-02-25,Belanja baju di H&M,Shopping,expense
2025-07-24,Langganan Spotify Premium,Entertainment,expense
2025-05-29,Beli hadiah ulang tahun,Shopping,expense
2025-04-25,Parkir di Mall Kelapa Gading,Transportation,expense
2025-07-09,Beli kopi di Starbucks,Food & Dining,expense
2024-11-15,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-01-08,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-10-05,Nonton di XXI Mall of Indonesia,Entertainment,expense
2024-11-23,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-08-23,Langganan internet Indihome,Bills & Utilities,expense
2025-02-27,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-10-05,Naik Gojek ke kantor,Transportation,expense
2025-10-06,Langganan Netflix bulanan,Entertainment,expense
2025-09-15,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-03-21,Beli sepatu di Tokopedia,Shopping,expense
2025-06-11,Bayar tagihan air PDAM,Bills & Utilities,expense
2025-07-05,Tunjangan transportasi kantor,Salary,income
2025-07-08,Biaya konsultasi dokter umum,Health & Medical,expense
2025-09-14,Tunjangan transportasi kantor,Salary,income
2025-01-31,Bayar tol JORR,Transportation,expense
2025-01-12,Pesan makanan lewat GoFood,Food & Dining,expense
2024-10-22,Bayar tol JORR,Transportation,expense
2025-06-29,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-04-25,Gaji Bulanan PT Astra,Salary,income
2025-02-21,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-08-08,Bonus akhir tahun,Salary,income
2025-06-27,Gaji Bulanan PT Astra,Salary,income
2025-07-21,Beli obat di apotek Kimia Farma,Health & Medical,expense
2024-12-26,Biaya konsultasi dokter umum,Health & Medical,expense
2025-07-30,Beli game di Steam,Entertainment,expense
2025-07-19,Pesan makanan lewat GoFood,Food & Dining,expense
2025-05-26,Tes antigen di klinik terdekat,Health & Medical,expense
2025-10-10,Beli jajanan di Indomaret,Food & Dining,expense
2025-05-14,Pesan makanan lewat GoFood,Food & Dining,expense
2025-06-03,Beli tiket konser musik,Entertainment,expense
2024-12-22,Parkir di Mall Kelapa Gading,Transportation,expense
2024-11-23,Beli kopi di Starbucks,Food & Dining,expense
2025-08-19,Beli sepatu di Tokopedia,Shopping,expense
2025-08-19,Isi bensin di SPBU Pertamina,Transportation,expense
2024-11-27,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-02-16,Langganan Netflix bulanan,Entertainment,expense
2025-04-09,Gaji Bulanan PT Astra,Salary,income
2025-02-20,Pendapatan tambahan dari klien,Salary,income
2025-02-08,Pesan jam tangan Casio online,Shopping,expense
2025-08-10,Isi bensin di SPBU Pertamina,Transportation,expense
2025-02-23,Parkir di Mall Kelapa Gading,Transportation,expense
2025-05-18,Beli vitamin di Guardian,Health & Medical,expense
2024-12-10,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-04-21,Beli game di Steam,Entertainment,expense
2025-06-18,Langganan internet Indihome,Bills & Utilities,expense
2025-10-01,Beli obat di apotek Kimia Farma,Health & Medical,expense
2024-11-22,Langganan Netflix bulanan,Entertainment,expense
2024-12-16,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-01-27,Beli kopi di Starbucks,Food & Dining,expense
2025-01-01,Parkir di Mall Kelapa Gading,Transportation,expense
2025-03-13,Bayar tagihan air PDAM,Bills & Utilities,expense
2024-11-29,Bayar tagihan air PDAM,Bills & Utilities,expense
2024-12-11,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2024-10-29,Pendapatan tambahan dari klien,Salary,income
2025-01-15,Bonus akhir tahun,Salary,income
2025-06-25,Langganan internet Indihome,Bills & Utilities,expense
2024-11-21,Dinner di restoran Jepang,Food & Dining,expense
2024-10-23,Dinner di restoran Jepang,Food & Dining,expense
2025-06-11,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-10-13,Pesan jam tangan Casio online,Shopping,expense
2025-09-25,Langganan Spotify Premium,Entertainment,expense
2025-01-09,Beli game di Steam,Entertainment,expense
2025-02-10,Pesan makanan lewat GoFood,Food & Dining,expense
2025-07-26,Pendapatan tambahan dari klien,Salary,income
2024-11-20,Tunjangan transportasi kantor,Salary,income
2025-06-23,Pendapatan tambahan dari klien,Salary,income
2025-01-10,Bayar tol JORR,Transportation,expense
2024-12-02,Pendapatan tambahan dari klien,Salary,income
2024-11-26,Biaya konsultasi dokter umum,Health & Medical,expense
2025-10-02,Naik Gojek ke kantor,Transportation,expense
2025-05-16,Biaya konsultasi dokter umum,Health & Medical,expense
2025-02-25,Pendapatan tambahan dari klien,Salary,income
2024-11-11,Bayar tol JORR,Transportation,expense
2025-05-24,Naik Gojek ke kantor,Transportation,expense
2025-08-07,Langganan Spotify Premium,Entertainment,expense
2025-03-04,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-02-21,Pesan makanan lewat GoFood,Food & Dining,expense
2024-12-28,Pesan jam tangan Casio online,Shopping,expense
2025-06-13,Beli tiket konser musik,Entertainment,expense
2024-10-26,Beli sepatu di Tokopedia,Shopping,expense
2025-08-06,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-07-24,Gaji Bulanan PT Astra,Salary,income
2025-03-06,Beli jajanan di Indomaret,Food & Dining,expense
2024-11-26,Pesan makanan lewat GoFood,Food & Dining,expense
2025-03-16,Pesan makanan lewat GoFood,Food & Dining,expense
2025-07-27,Dinner di restoran Jepang,Food & Dining,expense
2025-08-31,Beli tiket konser musik,Entertainment,expense
2024-10-26,Tes antigen di klinik terdekat,Health & Medical,expense
2025-03-24,Langganan Spotify Premium,Entertainment,expense
2024-12-29,Langganan Netflix bulanan,Entertainment,expense
2024-12-15,Beli sepatu di Tokopedia,Shopping,expense
2025-01-09,Langganan Spotify Premium,Entertainment,expense
2025-08-27,Beli gadget di Shopee,Shopping,expense
2025-02-03,Pesan makanan lewat GoFood,Food & Dining,expense
2025-07-07,Beli tiket konser musik,Entertainment,expense
2024-11-17,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-03-12,Gaji proyek freelance,Salary,income
2025-04-10,Gaji Bulanan PT Astra,Salary,income
2025-09-13,Biaya konsultasi dokter umum,Health & Medical,expense
2025-06-05,Belanja baju di H&M,Shopping,expense
2025-08-05,Parkir di Mall Kelapa Gading,Transportation,expense
2024-11-29,Gaji Bulanan PT Astra,Salary,income
2025-07-28,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-08-16,Tunjangan transportasi kantor,Salary,income
2025-05-30,Isi bensin di SPBU Pertamina,Transportation,expense
2025-03-28,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-04-23,Beli sepatu di Tokopedia,Shopping,expense
2025-09-28,Beli kopi di Starbucks,Food & Dining,expense
2025-08-04,Tunjangan transportasi kantor,Salary,income
2025-09-04,Beli vitamin di Guardian,Health & Medical,expense
2025-02-20,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-01-20,Biaya konsultasi dokter umum,Health & Medical,expense
2025-01-21,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-05-20,Beli tiket konser musik,Entertainment,expense
2025-03-07,Biaya konsultasi dokter umum,Health & Medical,expense
2025-05-05,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-06-19,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-06-14,Beli kopi di Starbucks,Food & Dining,expense
2025-02-15,Beli gadget di Shopee,Shopping,expense
2025-09-24,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-04-08,Dinner di restoran Jepang,Food & Dining,expense
2025-03-13,Beli sepatu di Tokopedia,Shopping,expense
2025-05-14,Beli hadiah ulang tahun,Shopping,expense
2025-04-09,Langganan Spotify Premium,Entertainment,expense
2025-03-04,Gaji Bulanan PT Astra,Salary,income
2025-03-06,Beli jajanan di Indomaret,Food & Dining,expense
2025-08-23,Gaji Bulanan PT Astra,Salary,income
2025-03-31,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-07-10,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-08-13,Gaji proyek freelance,Salary,income
2024-11-13,Pesan makanan lewat GoFood,Food & Dining,expense
2024-10-22,Beli game di Steam,Entertainment,expense
2025-10-08,Bayar tol JORR,Transportation,expense
2025-04-26,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-09-27,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-03-31,Beli hadiah ulang tahun,Shopping,expense
2025-03-24,Langganan Netflix bulanan,Entertainment,expense
2025-09-28,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-05-16,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-08-01,Beli tiket konser musik,Entertainment,expense
2025-05-25,Beli kopi di Starbucks,Food & Dining,expense
2025-10-03,Beli game di Steam,Entertainment,expense
2025-09-02,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-05-17,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-03-26,Naik Gojek ke kantor,Transportation,expense
2025-05-30,Belanja baju di H&M,Shopping,expense
2025-08-28,Tes antigen di klinik terdekat,Health & Medical,expense
2025-06-17,Beli tiket konser musik,Entertainment,expense
2025-10-02,Langganan internet Indihome,Bills & Utilities,expense
2025-06-21,Beli jajanan di Indomaret,Food & Dining,expense
2025-09-24,Biaya konsultasi dokter umum,Health & Medical,expense
2025-07-12,Tunjangan transportasi kantor,Salary,income
2025-04-11,Langganan Spotify Premium,Entertainment,expense
2025-10-01,Bonus akhir tahun,Salary,income
2025-01-31,Belanja baju di H&M,Shopping,expense
2024-11-14,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-08-30,Dinner di restoran Jepang,Food & Dining,expense
2025-06-12,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-01-29,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-07-02,Beli game di Steam,Entertainment,expense
2025-01-05,Bayar tagihan air PDAM,Bills & Utilities,expense
2024-12-15,Langganan Netflix bulanan,Entertainment,expense
2025-02-11,Beli vitamin di Guardian,Health & Medical,expense
2025-06-16,Beli jajanan di Indomaret,Food & Dining,expense
2025-02-26,Pendapatan tambahan dari klien,Salary,income
2025-06-12,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-09-28,Dinner di restoran Jepang,Food & Dining,expense
2025-08-22,Bayar tol JORR,Transportation,expense
2025-08-31,Pesan jam tangan Casio online,Shopping,expense
2025-05-28,Tes antigen di klinik terdekat,Health & Medical,expense
2025-06-07,Tes antigen di klinik terdekat,Health & Medical,expense
2025-06-09,Dinner di restoran Jepang,Food & Dining,expense
2025-09-13,Belanja baju di H&M,Shopping,expense
2025-06-27,Beli hadiah ulang tahun,Shopping,expense
2025-03-11,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-10-22,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-03-10,Belanja baju di H&M,Shopping,expense
2025-07-25,Beli gadget di Shopee,Shopping,expense
2025-01-07,Bonus akhir tahun,Salary,income
2025-10-12,Dinner di restoran Jepang,Food & Dining,expense
2024-11-23,Beli kopi di Starbucks,Food & Dining,expense
2025-04-09,Langganan internet Indihome,Bills & Utilities,expense
2025-05-22,Parkir di Mall Kelapa Gading,Transportation,expense
2025-05-25,Bonus akhir tahun,Salary,income
2025-10-13,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-05-04,Pendapatan tambahan dari klien,Salary,income
2025-04-20,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-05-24,Pesan jam tangan Casio online,Shopping,expense
2025-08-26,Bayar tol JORR,Transportation,expense
2025-02-11,Dinner di restoran Jepang,Food & Dining,expense
2025-06-27,Pesan jam tangan Casio online,Shopping,expense
2025-04-12,Gaji proyek freelance,Salary,income
2025-01-14,Beli game di Steam,Entertainment,expense
2024-12-26,Beli vitamin di Guardian,Health & Medical,expense
2024-11-04,Bayar tol JORR,Transportation,expense
2025-08-06,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2024-12-03,Langganan Netflix bulanan,Entertainment,expense
2024-12-30,Beli game di Steam,Entertainment,expense
2025-01-23,Beli vitamin di Guardian,Health & Medical,expense
2025-05-04,Tunjangan transportasi kantor,Salary,income
2025-06-11,Belanja baju di H&M,Shopping,expense
2025-05-04,Beli gadget di Shopee,Shopping,expense
2025-02-28,Pesan jam tangan Casio online,Shopping,expense
2025-06-19,Beli obat di apotek Kimia Farma,Health & Medical,expense
2024-11-17,Pendapatan tambahan dari klien,Salary,income
2025-09-19,Belanja baju di H&M,Shopping,expense
2024-11-06,Gaji Bulanan PT Astra,Salary,income
2024-11-01,Beli kopi di Starbucks,Food & Dining,expense
2025-02-21,Isi bensin di SPBU Pertamina,Transportation,expense
2025-09-29,Dinner di restoran Jepang,Food & Dining,expense
2025-02-10,Pendapatan tambahan dari klien,Salary,income
2025-04-28,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-08-28,Beli jajanan di Indomaret,Food & Dining,expense
2025-01-13,Langganan Netflix bulanan,Entertainment,expense
2025-08-14,Beli sepatu di Tokopedia,Shopping,expense
2025-08-12,Tunjangan transportasi kantor,Salary,income
2025-05-13,Beli game di Steam,Entertainment,expense
2024-11-29,Nonton di XXI Mall of Indonesia,Entertainment,expense
2024-12-13,Isi bensin di SPBU Pertamina,Transportation,expense
2025-10-07,Beli tiket konser musik,Entertainment,expense
2025-08-07,Naik Gojek ke kantor,Transportation,expense
2025-04-17,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-09-25,Parkir di Mall Kelapa Gading,Transportation,expense
2025-07-08,Beli sepatu di Tokopedia,Shopping,expense
2024-10-28,Beli tiket konser musik,Entertainment,expense
2025-06-29,Beli vitamin di Guardian,Health & Medical,expense
2025-04-25,Gaji proyek freelance,Salary,income
2025-10-19,Beli game di Steam,Entertainment,expense
2025-01-20,Dinner di restoran Jepang,Food & Dining,expense
2025-09-20,Langganan Spotify Premium,Entertainment,expense
2025-07-24,Beli hadiah ulang tahun,Shopping,expense
2025-06-17,Beli vitamin di Guardian,Health & Medical,expense
2025-03-08,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2024-12-05,Belanja baju di H&M,Shopping,expense
2025-02-23,Pesan jam tangan Casio online,Shopping,expense
2025-08-09,Beli vitamin di Guardian,Health & Medical,expense
2025-04-12,Parkir di Mall Kelapa Gading,Transportation,expense
2025-04-06,Gaji proyek freelance,Salary,income
2025-02-07,Dinner di restoran Jepang,Food & Dining,expense
2025-04-14,Beli gadget di Shopee,Shopping,expense
2025-10-16,Beli hadiah ulang tahun,Shopping,expense
2024-10-27,Beli hadiah ulang tahun,Shopping,expense
2024-12-04,Isi bensin di SPBU Pertamina,Transportation,expense
2025-06-29,Dinner di restoran Jepang,Food & Dining,expense
2025-10-10,Isi bensin di SPBU Pertamina,Transportation,expense
2025-06-08,Langganan internet Indihome,Bills & Utilities,expense
2024-12-08,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-05-17,Belanja baju di H&M,Shopping,expense
2025-03-27,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-04-28,Langganan Spotify Premium,Entertainment,expense
2025-07-20,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-07-30,Pesan jam tangan Casio online,Shopping,expense
2025-10-16,Beli gadget di Shopee,Shopping,expense
2025-03-27,Top up pulsa Telkomsel,Bills & Utilities,expense
2024-12-22,Belanja baju di H&M,Shopping,expense
2025-04-01,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-10-10,Pendapatan tambahan dari klien,Salary,income
2025-02-09,Beli kopi di Starbucks,Food & Dining,expense
2025-03-12,Beli game di Steam,Entertainment,expense
2025-07-17,Langganan Spotify Premium,Entertainment,expense
2024-12-12,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-03-22,Biaya konsultasi dokter umum,Health & Medical,expense
2025-01-21,Pesan makanan lewat GoFood,Food & Dining,expense
2025-10-19,Beli sepatu di Tokopedia,Shopping,expense
2025-03-11,Isi bensin di SPBU Pertamina,Transportation,expense
2025-08-01,Gaji Bulanan PT Astra,Salary,income
2025-09-13,Belanja baju di H&M,Shopping,expense
2024-12-13,Beli vitamin di Guardian,Health & Medical,expense
2025-08-11,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-06-24,Pesan jam tangan Casio online,Shopping,expense
2025-01-24,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-06-23,Tunjangan transportasi kantor,Salary,income
2025-05-15,Gaji Bulanan PT Astra,Salary,income
2025-08-13,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-01-07,Langganan Netflix bulanan,Entertainment,expense
2025-03-26,Beli jajanan di Indomaret,Food & Dining,expense
2024-12-21,Bonus akhir tahun,Salary,income
2025-08-28,Parkir di Mall Kelapa Gading,Transportation,expense
2025-02-14,Bayar tol JORR,Transportation,expense
2025-05-04,Tes antigen di klinik terdekat,Health & Medical,expense
2025-03-23,Langganan internet Indihome,Bills & Utilities,expense
2025-05-29,Tes antigen di klinik terdekat,Health & Medical,expense
2025-09-04,Beli hadiah ulang tahun,Shopping,expense
2024-12-11,Pendapatan tambahan dari klien,Salary,income
2025-09-07,Biaya konsultasi dokter umum,Health & Medical,expense
2025-09-25,Pesan makanan lewat GoFood,Food & Dining,expense
2025-02-21,Bonus akhir tahun,Salary,income
2024-11-29,Beli jajanan di Indomaret,Food & Dining,expense
2025-05-19,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-06-19,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-02-17,Beli sepatu di Tokopedia,Shopping,expense
2025-10-16,Beli gadget di Shopee,Shopping,expense
2024-11-27,Beli vitamin di Guardian,Health & Medical,expense
2025-03-06,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-09-25,Tes antigen di klinik terdekat,Health & Medical,expense
2025-05-27,Biaya konsultasi dokter umum,Health & Medical,expense
2025-02-14,Pendapatan tambahan dari klien,Salary,income
2025-03-07,Nonton di XXI Mall of Indonesia,Entertainment,expense
2024-11-27,Biaya konsultasi dokter umum,Health & Medical,expense
2025-03-28,Bonus akhir tahun,Salary,income
2025-03-18,Bayar tol JORR,Transportation,expense
2025-06-18,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-10-15,Beli tiket konser musik,Entertainment,expense
2025-07-05,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-06-03,Parkir di Mall Kelapa Gading,Transportation,expense
2024-11-11,Pendapatan tambahan dari klien,Salary,income
2025-08-27,Top up pulsa Telkomsel,Bills & Utilities,expense
2024-12-07,Beli sepatu di Tokopedia,Shopping,expense
2025-08-18,Beli jajanan di Indomaret,Food & Dining,expense
2025-08-13,Tunjangan transportasi kantor,Salary,income
2025-06-19,Bonus akhir tahun,Salary,income
2025-03-13,Parkir di Mall Kelapa Gading,Transportation,expense
2025-06-02,Beli jajanan di Indomaret,Food & Dining,expense
2024-12-07,Beli game di Steam,Entertainment,expense
2025-05-19,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-09-30,Beli gadget di Shopee,Shopping,expense
2025-04-08,Bonus akhir tahun,Salary,income
2025-03-18,Langganan internet Indihome,Bills & Utilities,expense
2025-07-30,Beli game di Steam,Entertainment,expense
2024-12-06,Gaji proyek freelance,Salary,income
2025-04-05,Beli gadget di Shopee,Shopping,expense
2025-07-12,Gaji proyek freelance,Salary,income
2025-09-23,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-06-15,Tes antigen di klinik terdekat,Health & Medical,expense
2025-01-26,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-09-05,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-09-07,Beli vitamin di Guardian,Health & Medical,expense
2025-02-03,Pembayaran tagihan PLN,Bills & Utilities,expense
2024-12-28,Beli hadiah ulang tahun,Shopping,expense
2025-10-14,Pesan jam tangan Casio online,Shopping,expense
2024-11-05,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-02-21,Langganan Spotify Premium,Entertainment,expense
2025-03-30,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-07-31,Naik Gojek ke kantor,Transportation,expense
2025-02-14,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-06-15,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-07-04,Bonus akhir tahun,Salary,income
2025-07-09,Beli tiket konser musik,Entertainment,expense
2025-05-22,Beli tiket konser musik,Entertainment,expense
2025-06-20,Beli vitamin di Guardian,Health & Medical,expense
2025-07-31,Dinner di restoran Jepang,Food & Dining,expense
2025-01-27,Dinner di restoran Jepang,Food & Dining,expense
2024-12-30,Bayar tol JORR,Transportation,expense
2025-03-12,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-04-14,Beli vitamin di Guardian,Health & Medical,expense
2025-03-07,Tes antigen di klinik terdekat,Health & Medical,expense
2025-03-15,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-08-18,Beli tiket konser musik,Entertainment,expense
2025-01-06,Parkir di Mall Kelapa Gading,Transportation,expense
2025-06-26,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-07-31,Beli gadget di Shopee,Shopping,expense
2025-05-03,Tes antigen di klinik terdekat,Health & Medical,expense
2025-01-26,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-08-10,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-05-20,Bayar tagihan air PDAM,Bills & Utilities,expense
2025-06-21,Tunjangan transportasi kantor,Salary,income
2025-05-07,Beli game di Steam,Entertainment,expense
2025-07-02,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-07-06,Bonus akhir tahun,Salary,income
2024-12-12,Tiket KRL Bekasi-Jakarta,Transportation,expense
2024-12-12,Beli vitamin di Guardian,Health & Medical,expense
2024-10-29,Parkir di Mall Kelapa Gading,Transportation,expense
2025-05-19,Nonton di XXI Mall of Indonesia,Entertainment,expense
2024-11-29,Biaya konsultasi dokter umum,Health & Medical,expense
2025-04-13,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-09-19,Parkir di Mall Kelapa Gading,Transportation,expense
2025-10-02,Tunjangan transportasi kantor,Salary,income
2025-05-04,Tes antigen di klinik terdekat,Health & Medical,expense
2025-07-26,Pesan jam tangan Casio online,Shopping,expense
2024-11-26,Pendapatan tambahan dari klien,Salary,income
2025-02-15,Pesan makanan lewat GoFood,Food & Dining,expense
2025-06-01,Langganan Netflix bulanan,Entertainment,expense
2025-06-06,Gaji Bulanan PT Astra,Salary,income
2024-11-05,Pesan makanan lewat GoFood,Food & Dining,expense
2024-11-19,Tunjangan transportasi kantor,Salary,income
2025-05-01,Beli gadget di Shopee,Shopping,expense
2025-02-24,Bayar tagihan air PDAM,Bills & Utilities,expense
2025-08-07,Parkir di Mall Kelapa Gading,Transportation,expense
2025-01-17,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-08-30,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-09-04,Beli vitamin di Guardian,Health & Medical,expense
2025-07-03,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-02-17,Isi bensin di SPBU Pertamina,Transportation,expense
2025-06-14,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-06-17,Beli sepatu di Tokopedia,Shopping,expense
2025-01-10,Beli hadiah ulang tahun,Shopping,expense
2025-04-16,Gaji proyek freelance,Salary,income
2025-09-14,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-06-12,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-01-31,Cek kesehatan di RS Hermina,Health & Medical,expense
2024-12-15,Langganan internet Indihome,Bills & Utilities,expense
2025-08-10,Dinner di restoran Jepang,Food & Dining,expense
2025-03-22,Beli hadiah ulang tahun,Shopping,expense
2024-11-02,Beli tiket konser musik,Entertainment,expense
2025-03-11,Beli vitamin di Guardian,Health & Medical,expense
2025-10-08,Pendapatan tambahan dari klien,Salary,income
2025-08-28,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-03-17,Beli game di Steam,Entertainment,expense
2025-08-28,Biaya konsultasi dokter umum,Health & Medical,expense
2025-02-11,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-09-04,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-09-08,Belanja baju di H&M,Shopping,expense
2025-03-29,Gaji Bulanan PT Astra,Salary,income
2024-11-08,Beli vitamin di Guardian,Health & Medical,expense
2024-12-28,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-04-07,Tunjangan transportasi kantor,Salary,income
2025-01-19,Beli game di Steam,Entertainment,expense
2025-07-25,Beli kopi di Starbucks,Food & Dining,expense
2025-07-05,Beli hadiah ulang tahun,Shopping,expense
2025-03-02,Belanja baju di H&M,Shopping,expense
2025-03-22,Beli vitamin di Guardian,Health & Medical,expense
2024-12-19,Beli tiket konser musik,Entertainment,expense
2025-01-02,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-10-03,Biaya konsultasi dokter umum,Health & Medical,expense
2025-08-03,Beli game di Steam,Entertainment,expense
2025-05-12,Beli sepatu di Tokopedia,Shopping,expense
2025-07-23,Tunjangan transportasi kantor,Salary,income
2025-04-28,Gaji proyek freelance,Salary,income
2025-08-17,Beli tiket konser musik,Entertainment,expense
2024-12-16,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-06-20,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-08-05,Pendapatan tambahan dari klien,Salary,income
2025-02-12,Beli hadiah ulang tahun,Shopping,expense
2025-09-12,Langganan Netflix bulanan,Entertainment,expense
